experiment,method,rep,d,r,n_anchors,directions_per_side,queries,operator_error,subspace_error,rank_hat
dimension_scaling,cross_known_rank,0,10,2,200,8,6400,0.11045289641727614,0.07971885824888415,2
dimension_scaling,cross_adaptive,0,10,2,200,8,6400,0.11045289641727614,0.07971885824888415,2
dimension_scaling,cross_known_rank,1,10,2,200,8,6400,0.163415735232936,0.06683697868824244,2
dimension_scaling,cross_adaptive,1,10,2,200,8,6400,0.163415735232936,0.06683697868824244,2
dimension_scaling,cross_known_rank,2,10,2,200,8,6400,0.11345118493954194,0.08993194828213312,2
dimension_scaling,cross_adaptive,2,10,2,200,8,6400,0.11345118493954194,0.08993194828213312,2
dimension_scaling,cross_known_rank,3,10,2,200,8,6400,0.16265816272523187,0.0554183571486591,2
dimension_scaling,cross_adaptive,3,10,2,200,8,6400,0.16265816272523187,0.0554183571486591,2
dimension_scaling,cross_known_rank,4,10,2,200,8,6400,0.19534445229340058,0.0736115872406464,2
dimension_scaling,cross_adaptive,4,10,2,200,8,6400,0.19534445229340058,0.0736115872406464,2
dimension_scaling,cross_known_rank,5,10,2,200,8,6400,0.13232629356918293,0.04306823609735281,2
dimension_scaling,cross_adaptive,5,10,2,200,8,6400,0.13232629356918293,0.04306823609735281,2
dimension_scaling,cross_known_rank,6,10,2,200,8,6400,0.5242240019784742,0.07358668670989346,2
dimension_scaling,cross_adaptive,6,10,2,200,8,6400,0.5242240019784742,0.07358668670989346,2
dimension_scaling,cross_known_rank,7,10,2,200,8,6400,0.14640376014224665,0.059478365982572216,2
dimension_scaling,cross_adaptive,7,10,2,200,8,6400,0.14640376014224665,0.059478365982572216,2
dimension_scaling,cross_known_rank,8,10,2,200,8,6400,0.13238026315206,0.06581475583644744,2
dimension_scaling,cross_adaptive,8,10,2,200,8,6400,0.13238026315206,0.06581475583644744,2
dimension_scaling,cross_known_rank,9,10,2,200,8,6400,0.12479454213268673,0.06984763521184324,2
dimension_scaling,cross_adaptive,9,10,2,200,8,6400,0.12479454213268673,0.06984763521184324,2
dimension_scaling,cross_known_rank,0,10,4,200,8,6400,0.17644486538386156,0.10873474138660116,4
dimension_scaling,cross_adaptive,0,10,4,200,8,6400,0.17644486538386156,0.10873474138660116,4
dimension_scaling,cross_known_rank,1,10,4,200,8,6400,0.24721255662819464,0.06510335229066264,4
dimension_scaling,cross_adaptive,1,10,4,200,8,6400,0.24721255662819464,0.06510335229066264,4
dimension_scaling,cross_known_rank,2,10,4,200,8,6400,0.15099271273843534,0.06802998753532438,4
dimension_scaling,cross_adaptive,2,10,4,200,8,6400,0.15099271273843534,0.06802998753532438,4
dimension_scaling,cross_known_rank,3,10,4,200,8,6400,0.4506468340239618,0.08451848179312645,4
dimension_scaling,cross_adaptive,3,10,4,200,8,6400,0.4506468340239618,0.08451848179312645,4
dimension_scaling,cross_known_rank,4,10,4,200,8,6400,0.19390978283386254,0.08398562849515355,4
dimension_scaling,cross_adaptive,4,10,4,200,8,6400,0.19390978283386254,0.08398562849515355,4
dimension_scaling,cross_known_rank,5,10,4,200,8,6400,0.20320417221592527,0.08561547063876214,4
dimension_scaling,cross_adaptive,5,10,4,200,8,6400,0.20320417221592527,0.08561547063876214,4
