experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,cross,0,12,2,80,1280,0.3057739986282688,0.4261176384508004,0.3815396329909866,2
moment_bias,outer,0,12,2,80,1280,0.144670490270678,0.2947626490537528,0.2584879017749645,2
moment_bias,outer_trace,0,12,2,80,1280,0.1844173939883772,0.3024973217310805,0.2648771059554588,2
moment_bias,cross,0,12,2,160,2560,0.4740273348290031,0.5332097398809478,0.2699644499265316,2
moment_bias,outer,0,12,2,160,2560,0.2074872519968323,0.3175283994286129,0.184068810231415,2
moment_bias,outer_trace,0,12,2,160,2560,0.1870989847356459,0.2630845750344054,0.1072110458769563,2
moment_bias,cross,0,12,2,320,5120,0.1989862137716039,0.2603638778183059,0.1638132701783043,2
moment_bias,outer,0,12,2,320,5120,0.1710731241038965,0.263980745067385,0.096274666327412,2
moment_bias,outer_trace,0,12,2,320,5120,0.1901481769455713,0.2496294043916863,0.1062563182667796,2
moment_bias,cross,0,12,2,640,10240,0.0981555442175812,0.1742087462559259,0.1747429838777482,2
moment_bias,outer,0,12,2,640,10240,0.1028861324955009,0.2342972693040725,0.078832450150393,2
moment_bias,outer_trace,0,12,2,640,10240,0.1252092798744766,0.1968722541936311,0.0467150436746266,2
moment_bias,cross,0,12,2,1280,20480,0.09494335196694,0.1362905501954062,0.0948773405912743,2
moment_bias,outer,0,12,2,1280,20480,0.1722661148011231,0.2669979414651532,0.0461605028859543,2
moment_bias,outer_trace,0,12,2,1280,20480,0.1087859465589505,0.1932112781059914,0.0390906306285183,2
moment_bias,cross,1,12,2,80,1280,0.4346034399230972,0.5630376543243051,0.5850940591075183,2
moment_bias,outer,1,12,2,80,1280,0.4991818782608493,0.549508830894362,0.1679035748995792,2
moment_bias,outer_trace,1,12,2,80,1280,0.5217818968055459,0.5612572853824351,0.2746129680973728,2
moment_bias,cross,1,12,2,160,2560,0.5057870781698711,0.5508210464989199,0.3083597736088584,2
moment_bias,outer,1,12,2,160,2560,0.3637225351965794,0.4501253381737894,0.1278706703611742,2
moment_bias,outer_trace,1,12,2,160,2560,0.2392258351539747,0.3105637352539054,0.1836736073645221,2
moment_bias,cross,1,12,2,320,5120,0.2943322582578209,0.3178828180077406,0.1570874115856182,2
