benchmark,tau,method,median_regret,q25_regret,q75_regret,mean_log10_regret,median_rank,median_subspace_error,queries
ellipsoid,0.0,cross_block_adaptive,0.4520119996499442,0.17063159639541084,0.8898158870235741,-0.49506249903931066,1.0,1.0,3999.0
ellipsoid,0.0,cross_block_known,0.35915131373140835,0.08038924117763438,0.8591439779908762,-0.8592716763152499,2.0,0.1911159401805935,3999.0
ellipsoid,0.0,cross_sparse_known,0.3283071108766999,0.2230865239613074,0.8922105294044554,-0.47323553060495993,2.0,0.937540404847115,3999.0
ellipsoid,0.0,full_zo,0.19618819930720244,0.10568403791200001,0.45454492562009885,-0.7990299753419874,12.0,1.0,3999.0
ellipsoid,0.0,oracle_subspace,0.21280149702005516,0.0682106314347466,0.37933529657240855,-0.7967477077768462,2.0,1.4901161193847656e-08,3999.0
ellipsoid,0.0,random_subspace,0.3577715112433022,0.1897509770711142,1.1758308267534294,-0.475344781334149,2.0,0.9908601260573795,3999.0
ellipsoid,0.02,cross_block_adaptive,0.2045601957850226,0.15686757256909697,0.26598338279764766,-0.7041433771309907,1.0,1.0,3999.0
ellipsoid,0.02,cross_block_known,0.0938271888236763,0.076741391249224,0.20885561550258944,-0.9347860780249204,2.0,0.2023068327336307,3999.0
ellipsoid,0.02,cross_sparse_known,0.1793736666582747,0.0718249506879296,0.27437409883965125,-0.8323086954815858,2.0,0.9561842413934292,3999.0
ellipsoid,0.02,full_zo,0.15034734430811975,0.06821456250183047,0.37494987806342406,-0.8457560309885525,12.0,1.0,3999.0
ellipsoid,0.02,oracle_subspace,0.10351151148392225,0.07489661730353407,0.1427540436088665,-0.8749609196173358,2.0,0.0,3999.0
ellipsoid,0.02,random_subspace,0.3977056257801632,0.178855532834872,0.6055313912360487,-0.3766699063045588,2.0,0.9901494766736167,3999.0
rastrigin,0.0,cross_block_adaptive,1.0062097105189878,0.019127280987400526,1.0240004560332272,-0.7056055560181417,2.0,0.0082952098000614,3999.0
rastrigin,0.0,cross_block_known,1.0061585561799582,0.0408995337590756,1.024081321564078,-0.5895468283239943,2.0,0.0084188473704756,3999.0
rastrigin,0.0,cross_sparse_known,0.9961969388527958,0.02551598532377495,0.9982252069138964,-0.7006924123170202,2.0,0.3996637494339631,3999.0
rastrigin,0.0,full_zo,0.5067461745456932,0.0091072946236199,1.0030593565827983,-0.9942726661138763,12.0,1.0,3999.0
rastrigin,0.0,oracle_subspace,1.0070252545272336,0.25694840279739045,1.020018112845979,-0.5767095091294407,2.0,1.7987292724647335e-08,3999.0
rastrigin,0.0,random_subspace,0.5065295644083107,0.003858636882912725,1.0037235095758048,-1.1348793260755483,2.0,0.991435588456365,3999.0
rastrigin,0.02,cross_block_adaptive,1.0218918506332932,0.0522634748042465,1.0341321218891442,-0.5391747020286466,2.0,0.0083597593794449,3999.0
rastrigin,0.02,cross_block_known,0.5594223347953794,0.0485626969936099,1.0493128660232487,-0.6496288884489203,2.0,0.00691713605255355,3999.0
rastrigin,0.02,cross_sparse_known,0.5493753948310753,0.039322562831039846,1.0486167570439513,-0.6810038985773563,2.0,0.4099981757855864,3999.0
rastrigin,0.02,full_zo,0.056179188786619545,0.03398026600326123,1.037258398813695,-0.862277513693799,12.0,1.0,3999.0
rastrigin,0.02,oracle_subspace,0.05313027234237355,0.03682081826793832,1.0332103609062588,-0.8405579282308594,2.0,7.450580596923828e-09,3999.0
rastrigin,0.02,random_subspace,0.6154182490665974,0.05111590100093405,1.0476256387067409,-0.5883778975713114,2.0,0.9721474881988159,3999.0
rosenbrock,0.0,cross_block_adaptive,0.0943351024586488,0.0258915093670395,0.17417840003731005,-1.1478849222283773,2.0,0.0034849492405319,3999.0
rosenbrock,0.0,cross_block_known,0.0596356236924811,0.025829059750074247,0.08724829919672769,-1.2945963776108145,2.0,0.0026922906164322,3999.0
rosenbrock,0.0,cross_sparse_known,0.18164534482340974,0.1579235845585397,0.24598193639611998,-0.6534279720992785,2.0,0.9389594409365927,3999.0
rosenbrock,0.0,full_zo,0.025812145380636302,0.018292849383511,0.07901400132922143,-1.4638901160740514,12.0,1.0,3999.0
rosenbrock,0.0,oracle_subspace,0.0353922159866718,0.023661695988381626,0.07101303198671602,-1.446921730712853,2.0,2.1073424255447017e-08,3999.0
rosenbrock,0.0,random_subspace,0.2368911059908223,0.1424919956909123,0.45388032072855927,-0.6947125064916755,2.0,0.9843101542979877,3999.0
rosenbrock,0.02,cross_block_adaptive,0.186196409156879,0.11028154547335883,2.3998264059880317,-0.28592455933082245,2.0,0.0026610689563421,3999.0
rosenbrock,0.02,cross_block_known,0.12476689299190236,0.08183266813768038,0.31683388664957923,-0.8137920328713323,2.0,0.0021703737956418,3999.0
rosenbrock,0.02,cross_sparse_known,0.3514256504127997,0.21186129145939137,0.6469353352375301,-0.3986093874390059,2.0,0.9729516171253402,3999.0
rosenbrock,0.02,full_zo,0.10764559843421975,0.06939645079784382,0.2912596277268773,-0.9007254138415248,12.0,1.0,3999.0
rosenbrock,0.02,oracle_subspace,0.0970360092950768,0.0657661487949252,0.2324921090415437,-0.922868998486571,2.0,1.4901161193847656e-08,3999.0
rosenbrock,0.02,random_subspace,0.5490423889053816,0.26896267896437803,1.4216892894975586,-0.14106290752916156,2.0,0.9980106544351964,3999.0
sphere,0.0,cross_block_adaptive,0.0038690309808324,0.000659582955889075,0.007233254782137075,-2.6450322197839133,5.5,1.0,3999.0
sphere,0.0,cross_block_known,0.005111876326677501,0.002695033420501525,0.00665986492217255,-2.486142917929533,2.0,0.2894149088633847,3999.0
sphere,0.0,cross_sparse_known,0.00222756327021065,0.001291457658376075,0.0026513913008811,-2.6779842198638804,2.0,0.782539912998879,3999.0
sphere,0.0,full_zo,0.0050333979916794,0.0015737358093052501,0.009026353955693074,-2.5316096363607556,12.0,1.0,3999.0
sphere,0.0,oracle_subspace,0.0018887165922768499,0.001626212157861175,0.0039370936021654,-2.7515234555972983,2.0,1.7987292724647335e-08,3999.0
sphere,0.0,random_subspace,0.0064261035728134,0.00330873509827605,0.00953234284009755,-2.193015443216565,2.0,0.9911857016815904,3999.0
sphere,0.02,cross_block_adaptive,0.03766807053416555,0.031702603755366376,0.0513380701830018,-1.3765654971173416,3.0,1.0,3999.0
sphere,0.02,cross_block_known,0.036426345468939095,0.03314726989738485,0.053575664519153625,-1.3874058370172762,2.0,0.28800756541582906,3999.0
sphere,0.02,cross_sparse_known,0.044118099330147,0.03434791445669645,0.056442272896194925,-1.350545760434262,2.0,0.7943553206777194,3999.0
sphere,0.02,full_zo,0.0480791948888957,0.038706589485436024,0.050948630891993925,-1.3512664322910073,12.0,1.0,3999.0
sphere,0.02,oracle_subspace,0.04167308658880435,0.0358039048060398,0.0539301839363347,-1.3814279049172722,2.0,1.4901161193847656e-08,3999.0
sphere,0.02,random_subspace,0.10959764553867675,0.0532769425150419,0.20062058635107216,-0.9117003160405137,2.0,0.9959652281613804,3999.0
