method,n_anchors,mean,se,ci95
cross,80,0.47973661580637517,0.039388345563324066,0.07720115730411517
cross,160,0.3183692502475278,0.017912489054406545,0.03510847854663683
cross,320,0.20672696980597877,0.011440052457504152,0.022422502816708136
cross,640,0.1447828866604462,0.011970020318692922,0.023461239824638127
cross,1280,0.11318509523027279,0.0073694043298128085,0.014444032486433105
cross,2560,0.08199082759103034,0.005815979833378456,0.011399320473421775
cross,5120,0.05144656593112916,0.002964109485364121,0.005809654591313677
outer,80,0.32470480626112336,0.03704665182647404,0.07261143757988912
outer,160,0.26499266910809627,0.01845486677392224,0.036171538876887586
outer,320,0.17530134756280208,0.013329312625015993,0.026125452745031346
outer,640,0.16841315570641863,0.013098989393971685,0.025674019212184502
outer,1280,0.15653278710233737,0.009050132331013592,0.01773825936878664
outer,2560,0.12916388235584164,0.006715031847078784,0.013161462420274416
outer,5120,0.11863439633573139,0.004953262849844149,0.009708395185694533
outer_trace,80,0.31800894189983636,0.03688766567309712,0.07229982471927035
outer_trace,160,0.23122479063956908,0.014883754272757203,0.02917215837460412
outer_trace,320,0.16452679112682672,0.010174224363860422,0.019941479753166427
outer_trace,640,0.14545128150581726,0.009539047013127012,0.01869653214572894
outer_trace,1280,0.1281901506868321,0.008356012188500062,0.01637778388946012
outer_trace,2560,0.11606186121948289,0.006835760750711225,0.013398091071394001
outer_trace,5120,0.10228500252552346,0.004665319030677556,0.00914402530012801
