benchmark,method,median_regret
ellipsoid,cross_block_adaptive,0.2045601957850226
ellipsoid,cross_block_known,0.0938271888236763
ellipsoid,cross_sparse_known,0.1793736666582747
ellipsoid,full_zo,0.15034734430811975
ellipsoid,oracle_subspace,0.10351151148392225
ellipsoid,random_subspace,0.3977056257801632
rastrigin,cross_block_adaptive,1.0218918506332932
rastrigin,cross_block_known,0.5594223347953794
rastrigin,cross_sparse_known,0.5493753948310753
rastrigin,full_zo,0.056179188786619545
rastrigin,oracle_subspace,0.05313027234237355
rastrigin,random_subspace,0.6154182490665974
rosenbrock,cross_block_adaptive,0.186196409156879
rosenbrock,cross_block_known,0.12476689299190236
rosenbrock,cross_sparse_known,0.3514256504127997
rosenbrock,full_zo,0.10764559843421975
rosenbrock,oracle_subspace,0.0970360092950768
rosenbrock,random_subspace,0.5490423889053816
sphere,cross_block_adaptive,0.03766807053416555
sphere,cross_block_known,0.036426345468939095
sphere,cross_sparse_known,0.044118099330147
sphere,full_zo,0.0480791948888957
sphere,oracle_subspace,0.04167308658880435
sphere,random_subspace,0.10959764553867675
