experiment,method,rep,tasks,d,r,rank_hat,subspace_error,total_queries,mean_regret,median_regret
amortization,cross_reused,0,1,12,2,2,0.21157048914903573,2219,0.18583862722393552,0.18583862722393552
amortization,full_equal_total,0,1,12,2,12,1.0,2219,0.22260657530425818,0.22260657530425818
amortization,oracle_subspace,0,1,12,2,2,0.0,1499,0.08388411788661701,0.08388411788661701
amortization,random_subspace,0,1,12,2,2,1.0,1499,0.20751730489951725,0.20751730489951725
amortization,cross_reused,0,3,12,2,2,0.21157048914903573,5217,0.1522712914847136,0.11951710216911914
amortization,full_equal_total,0,3,12,2,12,1.0,5217,0.21898222616818352,0.18429743914759228
amortization,oracle_subspace,0,3,12,2,2,0.0,4497,0.2867525945883574,0.23864999034950723
amortization,random_subspace,0,3,12,2,2,1.0,4497,0.418255290056792,0.3547834225715949
amortization,cross_reused,0,5,12,2,2,0.21157048914903573,8215,0.4964326167933864,0.2016858790140079
amortization,full_equal_total,0,5,12,2,12,1.0,8215,0.4656428247413517,0.3321010564934687
amortization,oracle_subspace,0,5,12,2,2,0.0,7495,0.33948512668596087,0.1489605326707252
amortization,random_subspace,0,5,12,2,2,1.0,7495,1.0377767875706307,0.35740020315292587
amortization,cross_reused,1,1,12,2,2,0.14411867800591113,2219,0.560553827974168,0.560553827974168
amortization,full_equal_total,1,1,12,2,12,1.0,2219,0.3515502056996319,0.3515502056996319
amortization,oracle_subspace,1,1,12,2,2,0.0,1499,0.4804514278696998,0.4804514278696998
amortization,random_subspace,1,1,12,2,2,1.0,1499,0.8280787567136514,0.8280787567136514
amortization,cross_reused,1,3,12,2,2,0.14411867800591113,5217,0.07939006256292776,0.09071648643056965
amortization,full_equal_total,1,3,12,2,12,1.0,5217,0.3897519848668878,0.22538493167443235
amortization,oracle_subspace,1,3,12,2,2,0.0,4497,0.07021010074766575,0.08056822764115718
amortization,random_subspace,1,3,12,2,2,1.0,4497,0.7868842519165505,0.30945992390817656
amortization,cross_reused,1,5,12,2,2,0.14411867800591113,8215,0.26093318453180914,0.24804799143474945
amortization,full_equal_total,1,5,12,2,12,1.0,8215,0.17999029587260992,0.18349753685301304
amortization,oracle_subspace,1,5,12,2,2,0.0,7495,0.20329521826238328,0.12871275267484386
amortization,random_subspace,1,5,12,2,2,1.0,7495,12.680339396725163,0.4067183755877586
amortization,cross_reused,2,1,12,2,2,0.1949228104548603,2219,0.908482070118983,0.908482070118983
amortization,full_equal_total,2,1,12,2,12,1.0,2219,1.1840282903899297,1.1840282903899297
amortization,oracle_subspace,2,1,12,2,2,0.0,1499,0.6443606251987946,0.6443606251987946
amortization,random_subspace,2,1,12,2,2,1.0,1499,0.04007723940215553,0.04007723940215553
amortization,cross_reused,2,3,12,2,2,0.1949228104548603,5217,0.2754604935657539,0.3048473393076329
amortization,full_equal_total,2,3,12,2,12,1.0,5217,0.5751915935873363,0.7661302841182223
amortization,oracle_subspace,2,3,12,2,2,0.0,4497,0.6033965424459435,0.7604911898317077
amortization,random_subspace,2,3,12,2,2,1.0,4497,12.957136467434346,0.25144729285522904
amortization,cross_reused,2,5,12,2,2,0.1949228104548603,8215,0.32889679761297447,0.3909316182724747
amortization,full_equal_total,2,5,12,2,12,1.0,8215,0.5552003908075281,0.49732062479258854
amortization,oracle_subspace,2,5,12,2,2,0.0,7495,0.15484538680464327,0.14322930860034322
amortization,random_subspace,2,5,12,2,2,1.0,7495,0.3864222434490385,0.3867048493830874
amortization,cross_reused,3,1,12,2,2,0.10567066428558206,2219,0.930466296233089,0.930466296233089
amortization,full_equal_total,3,1,12,2,12,1.0,2219,1.3169391795847212,1.3169391795847212
amortization,oracle_subspace,3,1,12,2,2,0.0,1499,1.881138659500045,1.881138659500045
amortization,random_subspace,3,1,12,2,2,1.0,1499,10.126167619389262,10.126167619389262
amortization,cross_reused,3,3,12,2,2,0.10567066428558206,5217,1.1764258888107957,1.0261716684629612
amortization,full_equal_total,3,3,12,2,12,1.0,5217,0.7854566202805641,0.7277581552298839
amortization,oracle_subspace,3,3,12,2,2,0.0,4497,1.0578408480201047,0.7457200680795572
amortization,random_subspace,3,3,12,2,2,1.0,4497,1.393822035713652,1.647150306304654
amortization,cross_reused,3,5,12,2,2,0.10567066428558206,8215,0.7424982291034572,0.9068933406090941
amortization,full_equal_total,3,5,12,2,12,1.0,8215,0.8781297466256272,0.7205365194206143
amortization,oracle_subspace,3,5,12,2,2,0.0,7495,0.8605479134463268,0.8419530117258309
amortization,random_subspace,3,5,12,2,2,1.0,7495,0.6519090082427855,0.5856189993120158
amortization,cross_reused,4,1,12,2,2,0.09506232447532516,2219,3.37884976559318,3.37884976559318
amortization,full_equal_total,4,1,12,2,12,1.0,2219,1.0117145813486443,1.0117145813486443
amortization,oracle_subspace,4,1,12,2,2,0.0,1499,1.8876143538684371,1.8876143538684371
amortization,random_subspace,4,1,12,2,2,1.0,1499,0.12491763970919188,0.12491763970919188
amortization,cross_reused,4,3,12,2,2,0.09506232447532516,5217,0.43965949448227987,0.15281652992605382
amortization,full_equal_total,4,3,12,2,12,1.0,5217,0.5314639295286041,0.13650335190053423
amortization,oracle_subspace,4,3,12,2,2,0.0,4497,0.8529702393679875,0.22928745574785264
amortization,random_subspace,4,3,12,2,2,1.0,4497,0.21862040334601887,0.2390192380525931
amortization,cross_reused,4,5,12,2,2,0.09506232447532516,8215,0.4922056753917544,0.2452144806512186
amortization,full_equal_total,4,5,12,2,12,1.0,8215,0.4595967963887599,0.17458899566411995
amortization,oracle_subspace,4,5,12,2,2,0.0,7495,0.5096729320035858,0.04377566423293909
amortization,random_subspace,4,5,12,2,2,1.0,7495,20.832393526013085,0.2561269086616024
amortization,cross_reused,5,1,12,2,2,0.10929079824266112,2219,0.12337609545478578,0.12337609545478578
amortization,full_equal_total,5,1,12,2,12,1.0,2219,0.17737850719898032,0.17737850719898032
amortization,oracle_subspace,5,1,12,2,2,0.0,1499,0.014999291491728253,0.014999291491728253
amortization,random_subspace,5,1,12,2,2,1.0,1499,0.18339475175810946,0.18339475175810946
amortization,cross_reused,5,3,12,2,2,0.10929079824266112,5217,0.12511770131309163,0.1448808810600634
amortization,full_equal_total,5,3,12,2,12,1.0,5217,0.1800811721275911,0.07967054426085572
amortization,oracle_subspace,5,3,12,2,2,0.0,4497,0.130201542373827,0.1656914221398198
amortization,random_subspace,5,3,12,2,2,1.0,4497,0.29232388495281525,0.2856240795885332
amortization,cross_reused,5,5,12,2,2,0.10929079824266112,8215,0.11364175076313003,0.061770485863946394
amortization,full_equal_total,5,5,12,2,12,1.0,8215,0.13830531967212684,0.06940614720005721
amortization,oracle_subspace,5,5,12,2,2,0.0,7495,0.25485410213075177,0.06175083784585443
amortization,random_subspace,5,5,12,2,2,1.0,7495,0.5008872006642042,0.33145318226255543
amortization,cross_reused,6,1,12,2,2,0.21611583387465455,2219,0.1400899443548841,0.1400899443548841
amortization,full_equal_total,6,1,12,2,12,1.0,2219,0.0808506244706804,0.0808506244706804
amortization,oracle_subspace,6,1,12,2,2,0.0,1499,0.04483193968509509,0.04483193968509509
amortization,random_subspace,6,1,12,2,2,1.0,1499,0.1640956501123029,0.1640956501123029
amortization,cross_reused,6,3,12,2,2,0.21611583387465455,5217,0.8750095468673083,0.9463994920706877
amortization,full_equal_total,6,3,12,2,12,1.0,5217,0.4748972516693444,0.6759362037823802
amortization,oracle_subspace,6,3,12,2,2,0.0,4497,0.45191614788243845,0.35210514785747976
amortization,random_subspace,6,3,12,2,2,1.0,4497,1.3147843627613758,1.7056216820983277
amortization,cross_reused,6,5,12,2,2,0.21611583387465455,8215,0.4274475169991505,0.18146487942471767
