experiment,benchmark,tau,method,rep,d,r,rank_hat,queries,discovery_queries,subspace_error,best_noisy_value,final_value,regret,batch,rep_global
optimization,sphere,0.0,oracle_subspace,0,12,2,2,3999,0,0.0,-0.059321159344999,0.0067988493287985,0.0067988493287985,0,0
optimization,sphere,0.0,cross_block_known,0,12,2,2,3999,720,0.3643594172221253,-0.0687300403420538,0.0070187938156815,0.0070187938156815,0,0
optimization,sphere,0.0,cross_block_adaptive,0,12,2,5,3999,720,1.0,-0.0670150237088055,0.0088938420369359,0.0088938420369359,0,0
optimization,sphere,0.0,cross_sparse_known,0,12,2,2,3999,600,0.82718268317587,-0.0699690264418629,0.0117689019157653,0.0117689019157653,0,0
optimization,sphere,0.0,random_subspace,0,12,2,2,3999,0,0.9989728683745546,-0.0324258910795845,0.0339332722908457,0.0339332722908457,0,0
optimization,sphere,0.0,full_zo,0,12,2,12,3999,0,1.0,-0.0510416849247099,0.0188961701653055,0.0188961701653055,0,0
optimization,sphere,0.0,oracle_subspace,1,12,2,2,3999,0,0.0,-0.0663417417963514,0.0057376798576658,0.0057376798576658,0,1
optimization,sphere,0.0,cross_block_known,1,12,2,2,3999,720,0.396054023409672,-0.0729158597278751,0.0047580623059448,0.0047580623059448,0,1
optimization,sphere,0.0,cross_block_adaptive,1,12,2,2,3999,720,0.181017867205456,-0.0717170895341307,0.0041665945446296,0.0041665945446296,0,1
optimization,sphere,0.0,cross_sparse_known,1,12,2,2,3999,600,0.9949597142357612,-0.0515064885387966,0.0021731088276867,0.0021731088276867,0,1
optimization,sphere,0.0,random_subspace,1,12,2,2,3999,0,0.9868209066443032,-0.0706139870407287,0.0002945037639072,0.0002945037639072,0,1
optimization,sphere,0.0,full_zo,1,12,2,12,3999,0,1.0,-0.0568982201137183,0.0001976990564967,0.0001976990564967,0,1
optimization,sphere,0.02,oracle_subspace,0,12,2,2,3999,0,1.4901161193847656e-08,-0.0121673830734225,0.0596923186511026,0.0596923186511026,0,0
optimization,sphere,0.02,cross_block_known,0,12,2,2,3999,720,0.230475812770749,-0.003162427575134,0.0642191309013077,0.0642191309013077,0,0
optimization,sphere,0.02,cross_block_adaptive,0,12,2,1,3999,720,1.0,0.0264767351212546,0.1008833470537573,0.1008833470537573,0,0
optimization,sphere,0.02,cross_sparse_known,0,12,2,2,3999,600,0.6307027394588812,-0.0070534491538432,0.0640147767224283,0.0640147767224283,0,0
optimization,sphere,0.02,random_subspace,0,12,2,2,3999,0,0.9789363645444084,0.1410581928716553,0.2071385575985894,0.2071385575985894,0,0
optimization,sphere,0.02,full_zo,0,12,2,12,3999,0,1.0,-0.0114157320286029,0.0237666819811514,0.0237666819811514,0,0
optimization,sphere,0.02,oracle_subspace,1,12,2,2,3999,0,2.5809568279517847e-08,-0.0261158613943036,0.0398274595033389,0.0398274595033389,0,1
optimization,sphere,0.02,cross_block_known,1,12,2,2,3999,720,0.3314847274213642,-0.0320586350703979,0.0342936019599482,0.0342936019599482,0,1
optimization,sphere,0.02,cross_block_adaptive,1,12,2,6,3999,720,1.0,-0.00410745393934,0.0279712070142786,0.0279712070142786,0,1
optimization,sphere,0.02,cross_sparse_known,1,12,2,2,3999,600,0.8433391473530601,-0.0256945667897233,0.0411928344494443,0.0411928344494443,0,1
optimization,sphere,0.02,random_subspace,1,12,2,2,3999,0,0.9578086322102828,-0.0267170378704513,0.0503902951497938,0.0503902951497938,0,1
optimization,sphere,0.02,full_zo,1,12,2,12,3999,0,1.0,0.0232856887775586,0.0551959588665509,0.0551959588665509,0,1
optimization,ellipsoid,0.0,oracle_subspace,0,12,2,2,3999,0,1.4901161193847656e-08,0.1138203790147465,0.1284988316474653,0.1284988316474653,0,0
optimization,ellipsoid,0.0,cross_block_known,0,12,2,2,3999,720,0.0902164004192746,0.2088950744806087,0.234559883100774,0.234559883100774,0,0
optimization,ellipsoid,0.0,cross_block_adaptive,0,12,2,1,3999,720,1.0,1.13406970022784,1.1666233911877044,1.1666233911877044,0,0
optimization,ellipsoid,0.0,cross_sparse_known,0,12,2,2,3999,600,0.9853470725632114,0.9600258256883292,0.9774353117175648,0.9774353117175648,0,0
optimization,ellipsoid,0.0,random_subspace,0,12,2,2,3999,0,0.9999959437368828,1.318378958879752,1.3690211712075595,1.3690211712075595,0,0
optimization,ellipsoid,0.0,full_zo,0,12,2,12,3999,0,1.0,0.4748449620592772,0.5026589397964673,0.5026589397964673,0,0
optimization,ellipsoid,0.0,oracle_subspace,1,12,2,2,3999,0,1.4901161193847656e-08,0.2353345246281569,0.2686302525957146,0.2686302525957146,0,1
optimization,ellipsoid,0.0,cross_block_known,1,12,2,2,3999,720,0.2242296647370604,0.9630930451862398,0.9788713122360228,0.9788713122360228,0,1
optimization,ellipsoid,0.0,cross_block_adaptive,1,12,2,1,3999,720,1.0,0.3301054552854959,0.3380002279467535,0.3380002279467535,0,1
optimization,ellipsoid,0.0,cross_sparse_known,1,12,2,2,3999,600,0.947618050051412,0.2612088691891462,0.3126098333157073,0.3126098333157073,0,1
optimization,ellipsoid,0.0,random_subspace,1,12,2,2,3999,0,0.9185099105481502,0.2835713541670129,0.3416757628322422,0.3416757628322422,0,1
optimization,ellipsoid,0.0,full_zo,1,12,2,12,3999,0,1.0,0.1437425634484457,0.1881558275356498,0.1881558275356498,0,1
optimization,ellipsoid,0.02,oracle_subspace,0,12,2,2,3999,0,0.0,0.0072870387240814,0.0519273835987737,0.0519273835987737,0,0
optimization,ellipsoid,0.02,cross_block_known,0,12,2,2,3999,720,0.1877247754011575,-0.0002863151965911,0.0521733589722908,0.0521733589722908,0,0
optimization,ellipsoid,0.02,cross_block_adaptive,0,12,2,1,3999,720,1.0,0.0784778702921413,0.0831896729060515,0.0831896729060515,0,0
optimization,ellipsoid,0.02,cross_sparse_known,0,12,2,2,3999,600,0.9824047216325948,0.0037147425769394,0.0486887055932216,0.0486887055932216,0,0
optimization,ellipsoid,0.02,random_subspace,0,12,2,2,3999,0,0.9998818954075158,0.1819252729324555,0.2327996491473223,0.2327996491473223,0,0
optimization,ellipsoid,0.02,full_zo,0,12,2,12,3999,0,1.0,0.0226407688669379,0.081527243741635,0.081527243741635,0,0
optimization,ellipsoid,0.02,oracle_subspace,1,12,2,2,3999,0,0.0,0.7533534913688676,0.773324331751356,0.773324331751356,0,1
optimization,ellipsoid,0.02,cross_block_known,1,12,2,2,3999,720,0.2150373120540878,0.168208967062708,0.2230282214757939,0.2230282214757939,0,1
optimization,ellipsoid,0.02,cross_block_adaptive,1,12,2,1,3999,720,1.0,0.6339548817331034,0.6755153913600945,0.6755153913600945,0,1
optimization,ellipsoid,0.02,cross_sparse_known,1,12,2,2,3999,600,0.9899690729484008,0.422185492155529,0.4611917649141867,0.4611917649141867,0,1
optimization,ellipsoid,0.02,random_subspace,1,12,2,2,3999,0,0.99719165757543,4.767680639851347,4.827469736512916,4.827469736512916,0,1
optimization,ellipsoid,0.02,full_zo,1,12,2,12,3999,0,1.0,0.482926579224793,0.5084025857125223,0.5084025857125223,0,1
optimization,rastrigin,0.0,oracle_subspace,0,12,2,2,3999,0,2.1073424255447017e-08,0.9960297027194188,1.0047724613058442,1.0047724613058442,0,0
optimization,rastrigin,0.0,cross_block_known,0,12,2,2,3999,720,0.0078276098069662,-0.0018828613225718,0.0069228545963433,0.0069228545963433,0,0
optimization,rastrigin,0.0,cross_block_adaptive,0,12,2,2,3999,720,0.0074342736552169,0.0022014215274605,0.0333489510285964,0.0333489510285964,0,0
optimization,rastrigin,0.0,cross_sparse_known,0,12,2,2,3999,600,0.5160564074165427,-0.0047061076650069,0.0300563516775227,0.0300563516775227,0,0
optimization,rastrigin,0.0,random_subspace,0,12,2,2,3999,0,0.9819810910046968,-0.0571431573546471,0.0036134480926719,0.0036134480926719,0,0
optimization,rastrigin,0.0,full_zo,0,12,2,12,3999,0,1.0,-0.0696384049227379,0.0083821023258607,0.0083821023258607,0,0
optimization,rastrigin,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,0.9849740347927298,1.0206599780228771,1.0206599780228771,0,1
optimization,rastrigin,0.0,cross_block_known,1,12,2,2,3999,720,0.0099625863845662,0.962045475866942,1.0036563562709515,1.0036563562709515,0,1
optimization,rastrigin,0.0,cross_block_adaptive,1,12,2,2,3999,720,0.0095564550451257,0.9910185668339128,1.0136763336987895,1.0136763336987895,0,1
optimization,rastrigin,0.0,cross_sparse_known,1,12,2,2,3999,600,0.3885760570512449,0.95919132237928,0.9973609460179348,0.9973609460179348,0,1
optimization,rastrigin,0.0,random_subspace,1,12,2,2,3999,0,0.9989323413213648,0.9219571410370776,1.0052862268293945,1.0052862268293945,0,1
optimization,rastrigin,0.0,full_zo,1,12,2,12,3999,0,1.0,0.9301889895626556,0.99679233365314,0.99679233365314,0,1
optimization,rastrigin,0.02,oracle_subspace,0,12,2,2,3999,0,2.1073424255447017e-08,1.0338546462305662,1.033630458446624,1.033630458446624,0,0
optimization,rastrigin,0.02,cross_block_known,0,12,2,2,3999,720,0.0055866033541556,1.027527414854312,1.0562571825488958,1.0562571825488958,0,0
optimization,rastrigin,0.02,cross_block_adaptive,0,12,2,2,3999,720,0.0087238657320257,1.02271231080182,1.034526069621198,1.034526069621198,0,0
optimization,rastrigin,0.02,cross_sparse_known,0,12,2,2,3999,600,0.2828955221340274,1.031296823916226,1.0578796647764528,1.0578796647764528,0,0
