method,n_anchors,operator_error_mean,operator_error_se,subspace_error_mean,subspace_error_se
cross,80,0.47973661580637517,0.039388345563324066,0.44054238864910855,0.03104266621749778
cross,160,0.3183692502475278,0.017912489054406545,0.2870823876576631,0.017270115745831476
cross,320,0.20672696980597877,0.011440052457504152,0.18197897186850137,0.008152621810297009
cross,640,0.1447828866604462,0.011970020318692922,0.14110902248129908,0.008416208602260352
cross,1280,0.11318509523027279,0.0073694043298128085,0.09723835608240947,0.005150944331617728
cross,2560,0.08199082759103034,0.005815979833378456,0.06636017543716373,0.0033071031151436516
cross,5120,0.05144656593112916,0.002964109485364121,0.046772363993741316,0.0018898491650485654
outer,80,0.32470480626112336,0.03704665182647404,0.21774733498630078,0.013635152622612348
outer,160,0.26499266910809627,0.01845486677392224,0.1346267660342413,0.005877906996441423
outer,320,0.17530134756280208,0.013329312625015993,0.10391822198949016,0.004514559749626109
outer,640,0.16841315570641863,0.013098989393971685,0.06755829874291,0.0023325257795624933
outer,1280,0.15653278710233737,0.009050132331013592,0.050969728507327096,0.0024866043276101537
outer,2560,0.12916388235584164,0.006715031847078784,0.03427947478379758,0.0013203298867776967
outer,5120,0.11863439633573139,0.004953262849844149,0.023669534012989598,0.0012680845389561467
outer_trace,80,0.31800894189983636,0.03688766567309712,0.20828950656541306,0.009506704698477676
outer_trace,160,0.23122479063956908,0.014883754272757203,0.13495099723493914,0.008650204059937848
outer_trace,320,0.16452679112682672,0.010174224363860422,0.10125027956082074,0.0056183992629148865
outer_trace,640,0.14545128150581726,0.009539047013127012,0.0643038082462142,0.002743333535762326
outer_trace,1280,0.1281901506868321,0.008356012188500062,0.047712018942385435,0.0020961938402376174
outer_trace,2560,0.11606186121948289,0.006835760750711225,0.03396194933580969,0.0013549754281196626
outer_trace,5120,0.10228500252552346,0.004665319030677556,0.02251815969238489,0.0008554582375868946
