benchmark,tau,method,n,mean_log10_regret_difference_vs_full,ci95_low,ci95_high,win_rate
ellipsoid,0.0,cross_block_adaptive,10,0.30396747630267673,0.1717151776407331,0.44591222865738234,0.0
ellipsoid,0.0,cross_block_known,10,-0.060241700973262494,-0.5203830110715842,0.3332491298459749,0.4
ellipsoid,0.0,cross_sparse_known,10,0.32579444473702757,0.1928935497167796,0.46940965847458627,0.1
ellipsoid,0.0,oracle_subspace,10,0.0022822675651411215,-0.23673785769520725,0.23339998405358925,0.5
ellipsoid,0.0,random_subspace,10,0.3236851940078385,0.04517058982172976,0.5986816143046599,0.2
ellipsoid,0.02,cross_block_adaptive,10,0.14161265385756167,-0.032786822922564476,0.33326164876779085,0.3
ellipsoid,0.02,cross_block_known,10,-0.08903004703636792,-0.3431091185096876,0.1818295341597725,0.7
ellipsoid,0.02,cross_sparse_known,10,0.013447335506966602,-0.13673548912518035,0.18745187760595355,0.5
ellipsoid,0.02,oracle_subspace,10,-0.0292048886287834,-0.22605656794983642,0.15397316856516072,0.5
ellipsoid,0.02,random_subspace,10,0.4690861246839935,0.16227345262782872,0.7638682448002359,0.2
rastrigin,0.0,cross_block_adaptive,10,0.2886671100957344,-0.041715147932879504,0.7374939847637143,0.2
rastrigin,0.0,cross_block_known,10,0.4047258377898818,0.06332591814259012,0.8389430839522403,0.2
rastrigin,0.0,cross_sparse_known,10,0.29358025379685615,-0.11601146873344945,0.7804548298186551,0.2
rastrigin,0.0,oracle_subspace,10,0.4175631569844353,-0.03767702994989711,1.005528539832555,0.2
rastrigin,0.0,random_subspace,10,-0.14060665996167226,-0.35910708046189077,0.11689431592585536,0.6
rastrigin,0.02,cross_block_adaptive,10,0.32310281166515226,0.033143314906788346,0.6896175966987643,0.4
rastrigin,0.02,cross_block_known,10,0.21264862524487863,0.03212961112404199,0.46708033428046586,0.3
rastrigin,0.02,cross_sparse_known,10,0.18127361511644258,0.03401815401078008,0.41767253203769483,0.0
rastrigin,0.02,oracle_subspace,10,0.02171958546293961,-0.0441152125677434,0.09555406546490439,0.6
rastrigin,0.02,random_subspace,10,0.2738996161224876,0.036391995124409146,0.557959788362298,0.4
rosenbrock,0.0,cross_block_adaptive,10,0.3160051938456742,-0.039840282842671264,0.7135098603205732,0.2
rosenbrock,0.0,cross_block_known,10,0.16929373846323711,0.01925822504161586,0.33024379808444854,0.3
rosenbrock,0.0,cross_sparse_known,10,0.810462143974773,0.5304190509517696,1.1122902532338022,0.0
rosenbrock,0.0,oracle_subspace,10,0.016968385361198622,-0.15546956116447533,0.17482451615689337,0.3
rosenbrock,0.0,random_subspace,10,0.7691776095823761,0.5007591521219231,1.0484167189886295,0.0
rosenbrock,0.02,cross_block_adaptive,10,0.6148008545107025,0.1836408955650532,1.1208286777359824,0.1
rosenbrock,0.02,cross_block_known,10,0.08693338097019274,0.0493342274716394,0.1283094827960306,0.0
rosenbrock,0.02,cross_sparse_known,10,0.502116026402519,0.27445929583556083,0.7188477077510015,0.1
rosenbrock,0.02,oracle_subspace,10,-0.022143584645046104,-0.08317731267339447,0.04113330998853391,0.5
rosenbrock,0.02,random_subspace,10,0.7596625063123635,0.30508960275582725,1.2335716679520805,0.2
sphere,0.0,cross_block_adaptive,10,-0.113422583423158,-0.6616069807785001,0.47815917980096617,0.6
sphere,0.0,cross_block_known,10,0.04546671843122248,-0.4583537759968348,0.5400520794183719,0.5
sphere,0.0,cross_sparse_known,10,-0.14637458350312518,-0.5623481993967927,0.2880537309968586,0.6
sphere,0.0,oracle_subspace,10,-0.21991381923654293,-0.7730357468363618,0.34303541490932965,0.6
sphere,0.0,random_subspace,10,0.33859419314419037,0.06702199909221503,0.6188557521931084,0.2
sphere,0.02,cross_block_adaptive,10,-0.02529906482633426,-0.15928507941369854,0.14444028027427955,0.6
sphere,0.02,cross_block_known,10,-0.03613940472626913,-0.1647884405545014,0.1057093048783781,0.5
sphere,0.02,cross_sparse_known,10,0.0007206718567453141,-0.13625253453145975,0.1366574908109384,0.5
sphere,0.02,oracle_subspace,10,-0.030161472626265097,-0.1528763856901774,0.09741472210458609,0.5
sphere,0.02,random_subspace,10,0.43956611625049347,0.19960100166884467,0.6972331188666895,0.2
