method,d,r,subspace_error_mean,subspace_error_se,rank_hat_mean,rank_recovery,queries
cross_adaptive,10,2,0.0677313409446674,0.0041397419376713,2.0,1.0,6400.0
cross_adaptive,10,4,0.0842833473616458,0.0044653160769336,4.0,1.0,6400.0
cross_adaptive,20,2,0.1333801545383512,0.0056660114184198,2.0,1.0,12800.0
cross_adaptive,20,4,0.1835322183081593,0.0099319845871391,4.0,1.0,12800.0
cross_adaptive,40,2,0.2555956502149449,0.082980855859267,1.9,0.9,25600.0
cross_adaptive,40,4,0.2307375731957011,0.0081546296202192,4.0,1.0,25600.0
cross_known_rank,10,2,0.0677313409446674,0.0041397419376713,2.0,1.0,6400.0
cross_known_rank,10,4,0.0842833473616458,0.0044653160769336,4.0,1.0,6400.0
cross_known_rank,20,2,0.1333801545383512,0.0056660114184198,2.0,1.0,12800.0
cross_known_rank,20,4,0.1835322183081593,0.0099319845871391,4.0,1.0,12800.0
cross_known_rank,40,2,0.1726252413234932,0.0066844276101482,2.0,1.0,25600.0
cross_known_rank,40,4,0.2307375731957011,0.0081546296202192,4.0,1.0,25600.0
